prompt,completion
Follow this amazing Australian author @KristyBerridge #fiction  #zombies #angels #demons #vampires #werewolves #follow #authorlove,"anticipation
joy
love
optimism
trust"
@Morning_Joe @JoeNBC @mikebarnicle Trump says the refugee situation 'is not just about terrorism it's about quality of life.' Take note.,"anger
disgust
fear"
@rosalilium I'm wearing all black tomorrow to mourn. 😭💔,"disgust
pessimism
sadness"
"@Courteoussoul @MattyMcDee I'm at 349 and just decoded 20 or more blues and not one was over 340, where you getting your blues?",anticipation
@TeaPartyOrg Hes right when the Civil war starts it will be wall to wall terrorism and i don't fancy the Muzzy's chances,"anger
anticipation
disgust
fear"
@TauDeltaPhiDK THANK YOU FOR MY OBAMA CUT OUT!!!!!! I am elated that he's back home😍,"joy
love
optimism"
"@MannersAboveAll *laughs louder this time, shaking my head* That was really cheesy, wasn't it?",joy
Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !! #awestruck #longingformore,"anticipation
joy
optimism
surprise
trust"
"@DeionSandersJr @DeionSanders so bad...Slash prices or send them to refugee camps, like team gear after they lose championships. ","anger
disgust
sadness"
When my 4yo is gone I blast gothcore music. She has #anxiety &amp; I can't listen 2 it around her bcuz it's 'too spooky'. *sigh* #momlife,"fear
sadness"
"It's pretty clear I can't stand @HillaryClinton, no tolerance for habitual liars. Not a Trump fan either so what's a citizen to do? ","anger
disgust
sadness"
@LeafyIsHere will showing off biceps scare you?,fear
@TeamGrout glee,joy
Awake at 5.30am with a seriously bad throat 😩😩😩😩😷🤒 glands feel huuuuuuuge and I'm in uni soon! #grim,"anger
disgust
sadness"
courage the cowardly dog is like american horror story for kids,fear
This is awful,disgust
Gloriosa Bazigaga on #Rwanda work: 'I lost relatives in genocide but 15 yrs of peacebuilding has given me optimism it's within our power',optimism
Finn singing 'Can't Fight This Feeling' in the shower and Will spying on him is one of the best scenes on any show. #glee,"joy
love
optimism"
A #smile doesn't always mean a person is #happy . Sometimes it simply means they are #strong enough to face their own #problems .,"joy
optimism
sadness"
@MHChat #mhchat Childhood experiences inform adult relationships. We have associative memories Not a question of ability to process ,"anticipation
sadness"
"Texans and Astros both shut out tonight. Houston, we're back to normal. #texans #Astros #sadness #losers",sadness
@downeysduckling nick fury,"anger
disgust"
and I'm up from a dream where I said something really retarded on twitter and it got like 10000 retweets #nightmare,"fear
sadness"
@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months ,sadness
The race advances only by the extra achievements of the individual. You are the individual. ~Charles Towne\n  #inspire,"joy
optimism"
"@alliex both, scrap *ll the rage instead",anger
Just told me wife there was a chance it would be 2 Sydney teams in AFL grand final. Her response: 'there's two SYDNEY AFL teams?' #serious,"anticipation
disgust
optimism
surprise"
I think they may be #offended,anticipation
@Fra93_bruno wow I'm just really sadden by that. Terrible,"disgust
sadness"
I meet new people and I had to grow up with the reality that people can be desgusting and fake and so I lost my cheerfulness and started to,"anger
disgust
pessimism"
I hate that a black lady is painting herself white on the internet for laughs and likes...  #BadForm #DidntLaugh,"anger
disgust
sadness"
can't believe Mint fest is two days away and i hate my outfit 😩😩🙈 #nightmare,"anger
disgust
fear
sadness"
Urgent need to get a new job. The constant gloom of my current one is getting a bit ridiculous now.,"anticipation
pessimism
sadness"
"Glasgow Girls' is a real tonic @stratfordeast:an eclectic range of songs, barbed humour and eloquence in its fiery rage against injustice","anger
anticipation
disgust
fear
joy
optimism"
Eat my ass' is no longer an insult,"anger
disgust
sadness"
These girls who are playful and childlike seem to have such lovely relationships. Can't imagine them having serious convos but it's cute  😍😍,"joy
love"
"It's not that the man did not know how to juggle, he just didn't have the balls to do it.\n #funny #pun #punny #lol ","joy
optimism"
So is texting a guy 'I'm ready for sex now' considered flirting?' ,"anticipation
trust"
Retweeted GunnySmith93 (@Stephen21Smith):\n\nDays like today I am happy to be alive! #blessed ,"joy
optimism"
"I'm absolutely in love with Laurie Hernandez, she's so adorable and is always so cheerful!","joy
love"
Impractical Jokers...practically genius!!!  @BQQuinn  #good4thesoul #ImpracticalJokers #bingewatching,"joy
optimism"
@Budget  car rental you have made realize why I always use @nationalcares!!!!  What a !! #disgusted,"anger
disgust
sadness"
Why is it so windy? So glad I didn't ride my bike. #fear #wind,"fear
joy
surprise"
"The point of living, and being an optimist, is to be foolish enough to believe the best is yet to come' - Peter Ustinov #optimism #quote",optimism
@PatVPeters @FreeBeacon Quite the response of retaliation from Weiner in getting revenge on Huma &amp; Hillary 'clam digging'.\n#AllScumbags,"anger
disgust"
My ukulele bag has fallen apart. 😐 WELLL AT LEAST my life hasn't yet!! #Joys\n\n#quote  #problemsolving #behappy,"joy
optimism"
"Brb, going 2 start killing random white people going about their normal days. Don't worry though i'm white, so they will safely apprehend me","anger
anticipation
disgust
sadness"
".@marcorubio mentions his high school-aged daughters, 'should be a joyous occasion' when they go to college, not bring 'fear,' 'trepidation'","fear
joy
optimism"
"When u /only/ talk 2 me or ask me 'how r things' just 2 get 2 say something u want, 4give me if I'm not elated 2 start a conversation with u","anger
disgust
joy"
@swarbleflop @LightskinJesuSP they're both pretty awful when you look at them historically,"anger
disgust"
"@my2k aaa Cam animated that, so proud of our boy","joy
optimism"
Having a terrific Tuesday? Crush it today with the Power of 4. Treat your internet like Pizza =D \n#PowerOf4,
Watch this amazing live.ly broadcast by @mrgummyking #lively #musically,"anticipation
joy
optimism"
broken policy' #blasio &lt;&gt; #trump #giuliani 'broken windows' all part of 'pecking order' #bully politics #america RESIST #motto,"anger
disgust"
"Mate the thing I get excited about in my profession are mad. A client said she opened her bowels, I'm rejoicing",joy
@ScmCIafIin 'Don't you know how nervous I was to see you?',"fear
pessimism
sadness"
@coopah Worst than going to the morgue to do a positive ID. #horrible Reuters,"anger
disgust
fear"
@suddenlyapples This is an on-going affliction for me and the only cure is more Shiro,"anticipation
disgust
optimism
sadness"
jstor's lingua obscura articles are always such a delight,"joy
love
optimism
trust"
Feel the wrath of my air-dropped pamphlets!,"joy
optimism"
@TheOneSoleShoe that is one thing but attacking and hating is worse - that makes us just like the angry vengeful behavior we detest,"anger
disgust"
"@LuluLemonLime83 wow , your right they do need help,so what I'm getting from the Laureliver fandom and bitter comic fandom and","disgust
sadness"
@MichiganBromo Good optimism sir :),"joy
optimism"
I'm such a shy girl🙄,sadness
PASTOR - 15 FEET away from shooting victim during protest says he is skeptical of official story.  #CharlotteProtest #CharlotteRiot,"anticipation
fear"
What we fear doing most is usually what we most need to do.' ~Tim Ferriss #inspiring #inspired #motivation #fear #success #hustle,"fear
joy
optimism"
"@noveliciouss OMG, that's such a beautiful quote.  #amwriting","joy
optimism
surprise"
Some of these fb comments and/or tweets should make some people realize why black Americans feel the way they do 😳 #terrible,"anger
disgust
fear
sadness"
mmmm i'm kinda sad i hope i can shake this before school,"pessimism
sadness"
Every day I think my #house 🏡 is #burning 🔥 but it's always just my neighbor burning their #toast! 😷😡🍞,"fear
joy"
"In  fact,  sometimes i don't get furious at people who wrong me, but   i get  furious at  myself  for being  a  fool.","anger
disgust"
"@BratzHead happy birthday to the most beautiful cheerful sister ever, llnp 💕❣🎉","joy
love
optimism"
now playing yung fav song ni chavs #sober 😂,"joy
optimism
sadness"
@Disneyland #nothappy and still #charging the #fullprice 😡😡 #fuming some your #bestrides 😳😳,"anger
disgust"
Everyone is raging,"anger
disgust"
Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison #anger,"anger
disgust"
@Mickeyplyler @QualkTalk the refs are in GT's favor tonight. ,joy
NL's top bureaucrat is a director of a group formed to oppose NL's top megaproject. #nlpoli - never dull,"disgust
sadness"
Watch this amazing live.ly broadcast by @flydudern  #musically,"joy
love
trust"
No one wants to win the wild card because you have to play the Cubs on the road.  #sadness,"pessimism
sadness"
@ikhras @benglaze Amal Clooney should try to prosecute  #Bush/ #Blair for #war crimes that turned our World upside down&amp;created #terrorism,"anger
disgust
fear"
Danish pastries...oh know my nightmare! Old boots is a good description #GBBO,"anticipation
fear
pessimism"
@RealKyper @NHL watching the jubilant scrum at the end of the day and remembering they're all still kids! #priceless,"joy
love
optimism"
"@samsteinhp stop the presses, @realDonaldTrump said/proposed something racist. #shocking","anger
disgust
surprise"
@mikefreemanNFL \nIsn't OBrien supposed to be some sort of offensive genius ,"anger
anticipation
disgust
pessimism"
Good morning chirpy #SpringEquinox and your pensive sister #AutumnEquinox A perfect day however it is expressed 🌹🍁🌓☯️ #theBeautyofBalance,"joy
love"
The difference between someone's selfies when they're happy vs. unhappy is absolutely amazing.,"joy
optimism
surprise"
"@MendipHillsAONB do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since. #sad #Autumn","pessimism
sadness"
"Does Bret have a point? Cena, Balor, sting...",anticipation
I told my chiropractor 'I'm here for a good time not a long time' when he questioned my habits and yet again I have unnerved a doctor,optimism
Lady gaga fucking followed i have been waiting for this day for ages it fucking happened im shaking thank you so much @ladygaga ❤️,"joy
love"
Wish I could convince the rest of my children to go to their fucking preschool and elementary schools with fear of gun violence.,"anger
disgust
fear
sadness"
@Its_just_Huong I will beat you !!! Always thought id be gryffindor so this is a whole new world for me 😨😨😨 #excited ,"joy
optimism"
@CallumPinner you came in at silly o'clock and woke me up that's what happened #wasted #fuming,"anger
disgust"
